Firm_ID,Firm_Name,Size,Languages_Spoken,Asylum_Success_Count,Asylum_Failure_Count,Habeas_Success_Count,Habeas_Failure_Count,Current_Org_Caseload,Subjective_Rating,Special_Niche,Notes
F101,Liberty Legal Group,Large,"Spanish, English",150,30,10,5,12,4.5,High-Volume Asylum,We only work with juveniles and prefer habeas cases. 
F102,Andean Advocacy,Boutique,"Spanish, Kichwa, Quichua",45,5,2,0,3,4.8,Indigenous Rights,We work with Central Americans who are undocumented.
F103,Global Human Rights Clinic,Medium,"French, Arabic, English",80,20,15,2,8,4.2,Gender-Based Violence,We are great with cases requiring urgent action.
F104,Pacific Rim Law,Small,"Mandarin, Cantonese, English",30,12,1,1,2,3.9,Religious/Political,
F105,Main Street Immigration,Medium,"Spanish, English",200,80,0,0,20,3.5,Family Petitions,
F106,Bridges Justice Center,Large,"Arabic, French, English",110,25,8,3,5,4.3,Middle East Refugees,
F107,Coastal Defense Partners,Medium,"Spanish, Portuguese, English",95,40,12,6,10,4,Removal Defense,
F108,Northern Star Asylum,Small,"Russian, Ukrainian, English",55,10,3,1,4,4.7,Post-Soviet States,
F109,Unity Legal Aid,Large,"Spanish, English, Vietnamese",180,55,5,2,15,3.8,General Immigration,
F110,Heritage Law Group,Boutique,"Hindi, Gujarati, English",40,8,1,0,2,4.6,South Asian Family Law,
F111,Sentinel Rights Firm,Medium,"Spanish, English",120,35,10,4,7,4.1,Asylum & TPS,
F112,Avenue Immigration,Small,"Farsi, Arabic, English",35,15,2,2,3,4.2,Middle Eastern Asylum,
F113,Metro Defense Assoc.,Large,"Spanish, English",210,95,0,0,25,3.4,Cancellation of Removal,
F114,Global Bridge Law,Medium,"Mandarin, Japanese, Korean",75,22,6,2,6,4.4,East Asian Political,
F115,Harbor Legal Services,Small,"Amharic, Tigrinya, English",25,5,1,0,2,4.9,Horn of Africa,
F116,Pioneer Rights Project,Large,"Spanish, English",140,45,15,5,11,4.2,Border Advocacy,
F117,Crescent Law Clinic,Medium,"Urdu, Pashto, English",65,18,4,2,5,4.3,Afghan & Pakistani SIV,
F118,Emerald Isle Legal,Boutique,"English, Irish",20,2,0,0,1,4.5,EU Immigration,
F119,Golden Gate Defense,Large,"Spanish, English, Tagalog",165,60,10,4,14,3.9,Asian & LatAm Family,
F120,Summit Immigration,Small,"Romanian, Russian, English",30,12,2,1,3,4.1,Eastern European,
F121,New Horizons Legal,Medium,"Spanish, French, Wolof",85,25,7,3,6,4.4,West African Asylum,
F122,Justice For All,Large,"Spanish, English",190,70,5,3,18,3.7,Deportation Defense,
F123,Sunrise Advocacy,Small,"Thai, Vietnamese, English",40,10,1,0,3,4.6,Southeast Asian Niche,
F124,Compass Law Partners,Medium,"Spanish, English, Italian",105,30,8,2,9,4.2,European & LatAm,
F125,Beacon Rights Center,Large,"Arabic, Turkish, English",130,40,12,5,8,4.1,MENA Region,
F126,Foundations Legal,Small,"Haitian Creole, French",45,12,2,1,4,4.5,Haitian Relief,
F127,Legacy Law Assoc.,Medium,"Spanish, English",115,45,6,3,10,3.8,Family Visas,
F128,Atlas Immigration,Large,"Mandarin, English",155,50,10,4,12,4,Chinese Asylum,
F129,River North Law,Small,"Portuguese, English",35,8,1,0,3,4.7,Brazilian Community,
F130,Highland Defense,Medium,"Spanish, Mam, Quiche",70,15,4,1,5,4.8,Guatemalan Indigenous,
F131,Capital Justice,Large,"Spanish, English",220,110,5,5,30,3.2,High-Volume Removal,
F132,Sterling Rights,Small,"Nepali, Hindi, English",20,4,1,0,2,4.6,Himalayan Region,
F133,Oak Tree Law,Medium,"Spanish, English",90,30,5,2,8,4.1,U-Visas & VAWA,
F134,Frontier Advocacy,Large,"French, Swahili, English",110,35,8,3,7,4.3,East African Refugees,
F135,Starlight Legal,Small,"Arabic, Farsi, English",30,10,2,1,2,4.4,Middle East Niche,
F136,Valley View Law,Medium,"Spanish, English",100,40,0,0,15,3.6,TPS & DACA,
F137,Blue Marble Clinic,Large,"Spanish, English, Mandarin",145,55,12,6,10,4.1,Global Asylum,
F138,Civic Rights Group,Small,"Bengali, Hindi, English",25,7,1,0,2,4.5,South Asian Niche,
F139,Prestige Immigration,Medium,"Spanish, English",110,35,4,2,9,3.9,Family Petitions,
F140,Unity Defense,Large,"Arabic, Kurdish, English",125,45,9,4,6,4.2,Kurdish Asylum,
F141,Lighthouse Legal,Small,"Greek, Turkish, English",20,5,1,0,2,4.3,Mediterranean Niche,
F142,Cornerstone Assoc.,Medium,"Spanish, English",95,40,6,2,11,3.7,Asylum Defense,
F143,Global Reach Law,Large,"Spanish, English, French",160,65,15,5,13,4,Multilingual Defense,
F144,Mountain View Law,Small,"Tibetan, Hindi, English",15,3,1,0,2,4.8,Tibetan Rights,
F145,Fair Winds Legal,Medium,"Spanish, English",105,30,8,3,8,4.2,General Asylum,
F146,City Center Defense,Large,"Spanish, English",200,85,0,0,22,3.5,Mass Removal Defense,
F147,Evergreen Rights,Small,"Polish, Russian, English",35,10,2,1,3,4.4,Central European,
F148,Northwest Advocacy,Medium,"Spanish, English, Mandarin",90,25,6,2,7,4.3,Pacific Rim Asylum,
F149,Integrity Law Group,Large,"Arabic, French, English",135,40,11,4,9,4.2,Francophone Africa,
F150,Phoenix Rights,Small,"Spanish, English",40,15,2,1,4,4.1,General Practice,
